Hypothesis,Reference
"abstractwe report the first case of white nose syndrome infection caused by the fungus pseudogymnoascus destructans in adult a. intermedius bats in mexico . 
 the bats were inoculated intramuscularly with rabies virus ( vampire bat variant 5020 , 110 fluorescent focus ) . after 5 days , an adult male exhibited emaciation , restlessness , and depression . on day 20 , the animal could not fly and remained on the floor of the cage . in addition , hematoxylin and eosin staining revealed the presence of mononuclear cell infiltrates in all subjects . because of the resemblance of the wing lesions to those typically seen in white nose 
 syndrome infection , we applied periodic acid 
 hyperimmune serum samples raised against the isolated bacteria neutralized the cpe of the bacteria up to a 1:719 dilution .","an intracellular bacterium was isolated from fruit bats ( artibeus intermedius ) in cocoyoc , mexico . 
 the bacterium caused severe lesions in the lungs and spleens of bats and intracytoplasmic vacuoles in cell cultures . 
 sequence analyses showed it is related to waddlia spp . 
 ( order chlamydiales ) . 
 we propose to call this bacterium waddlia cocoyoc ."
"arteriovenous malformation ( avm ) of the gastrointestinal tract is the single most common cause of significant gi bleeding when conventional diagnostic studies have failed to reveal a bleeding focus . in most of the cases reported 
 , selective angiography was the only means by which a correct diagnosis could be made . 
 we report a young man with ventricular septal defect presenting as massive lower gastrointestinal ( gi ) bleeding from a large colonic avm involving a long segment of the left colon .","arteriovenous malformation of the gut is well known to have been an important bleeding focus in past ages . 
 we report a young korean male patient , who had been known to have ventricular septal defect , presenting massive lower gastrointestinal bleeding from an arteriovenous malformation involving a long segment of the left colon . 
 angiographic , gross and histologic findings are presented and the literature is reviewed ."
"a 66-year - old japanese woman was referred to us with a 6-month history of decreased vision and metamorphopsia in the left eye . 
 fundus examination showed mild epiretinal membrane in the macula of the right eye , and an elevated , oval , 1-disc - diameter , reddish - orange lesion accompanied by serous detachment of the neurosensory retina . during the choroidal arteriolar filling phase of icg angiography ( hra2 ) , branching vessels ( arterioles ) appeared in blocked fluorescence , and a few dilated chorioidal venules with dye leakage manifested in the early choroid venular filling phase ( fig.1a ) . in this study 
 , we discuss the possible relationship between venous pulsations and polypoidal vessel formation .","it has been reported that pulsations in abnormal vessels are observed on indocyanine green ( icg ) angiography in half of patients with polypoidal choroidal vasculopathy ( pcv ) , although the mechanism of the pulsation is unknown . in this study 
 , we report a case of pcv showing venous pulsations at an arterio - venous ( a - v ) crossing , and discuss a possible mechanism of polypoidal vessel formation and pulsations in pcv . a 66-year - old female presented with a reddish - orange elevated lesion and serous retinal detachment in the macula of her left eye , and 
 was diagnosed as pcv . 
 she was treated with photodynamic therapy ( pdt ) , and followed - up through routine examinations , including icg angiography . 
 icg angiography at presentation showed a branching vascular network and choroidal venules with dye leakage ( polypoidal vessels ) in the left eye . 
 pulsations , supposedly of venous origin , were observed at an a - v crossing in the abnormal vessels . within 3 months after pdt , 
 the polypoidal vessel ceased to leak and the pulsations vanished . 
 the reddish - orange lesion gradually decreased in size with complete disappearance of retinal detachment . 
 this study suggests that an unusual compression at an a - v crossing may make a venule polypoidal , and fluctuations of blood flow and pressure in the venule may cause pulsatile movements of the vessel wall ."
"the most common ocular adverse event following the use of cyclosporine a ( csa ) 0.05% ophthalmic emulsion is ocular burning ( 17% ) . 
 other adverse effects that have been reported include conjunctival hyperemia ( 1 - 5% ) , discharge , epiphora , eye pain , foreign body sensation , pruritus , stinging and blurred vision . here , we report a specific side effect of csa , namely eye drop - induced eyelash elongation in a patient with refractory giant papillary conjunctivitis .","purposethe most common ocular adverse event following the use of cyclosporine a ( csa ) 0.05% ophthalmic emulsion is ocular burning ( 17% ) . 
 other adverse effects that have been reported include conjunctival hyperemia ( 1 - 5% ) , discharge , epiphora , eye pain , foreign body sensation , pruritus , stinging and blurred vision . here , we report a specific side effect of csa , namely eye drop - induced eyelash elongation in a patient with refractory giant papillary conjunctivitis.designobservational case report.methodscase report and review of the literature.resultsa 32-year - old female with giant papillary conjunctivitis on the left eye , who had undergone papillectomy 3 years previously and was refractory to topical steroid therapy , was treated with csa 0.05% ophthalmic emulsion ( restasis ) 4 times a day , preservative - frees artificial tears and gentamicin ophthalmic solution in the left eye . 
 after 5 months of topical csa treatment , elongated eyelashes of her left eye were observed without other adverse effects.conclusionalthough hypertrichosis and trichomegaly have been documented in the literature as side effects of systemic csa , topical csa 0.05% eye drop - induced elongated eyelashes have not been reported , and we believe ophthalmologists should be mindful and inform patients about this specific side effect ."
"abstractthe aim of this study was to investigate the effect of thermal activation on the luminescence of amorphous nitride - based light - emitting diode and electroluminescent devices ( elds ) . 
 the films were prepared at 77 k by rf magnetron sputtering of an aluminum target of 99.999% purity in a pure nitrogen atmosphere.the films were deposited onto 2 cm  2 cm , or less , p - silicon ( 100 ) substrates . in the present work 
 , the films in uv , visible , and ir are obtained and studied simultaneously by activating these materials in a tube furnace up to 1,200 k. the thickness of the films was 200 nm , measured with a quartz crystal thickness monitor in the growth chamber , and the x - rays diffraction ( xrd ) was used to determine the structure of these films . in addition to the xrd , 
 a 488 nm line of argon emission was observed in the as - deposited films .","samarium ( sm ) doped aluminum nitride ( aln ) thin films are deposited on silicon ( 100 ) substrates at 77 k by rf magnetron sputtering method . 
 thick films of 200 nm are grown at 100200 watts rf power and 58 m torr nitrogen , using a metal target of al with sm . 
 x - ray diffraction results show that films are amorphous . 
 cathodoluminescence ( cl ) studies are performed and four peaks are observed in sm at 564 , 600 , 648 , and 707 nm as a result of4g5/2  6h5/2,4g5/2  6h7/2,4g5/2  6h9/2 , and4g5/2  6h11/2transitions . 
 photoluminescence ( pl ) provides dominant peaks at 600 and 707 nm while cl gives the intense peaks at 600 nm and 648 nm , respectively . 
 films are thermally activated at 1,200 k for half an hour in a nitrogen atmosphere . 
 thermal activation enhances the intensity of luminescence ."
"introductionwe report the case of a 77-year - old female with acquired angioneurotic edema , c1 esterase inhibitor level = 4mg / dl , who was scheduled to undergo a laparoscopic splenectomy . 
 in the operating room , we administered on call 500 units ( ui ) of c1 
 esterases inhibitor concentrate intravenously.conclusionintraoperative hemodynamic instability and generalized blood oozing improved following the administration of aprotinin 250000 ui intravenous 
 .","background : we report the case of a 77-year - old female with acquired angioneurotic edema , c1 esterase inhibitor level = 4mg / dl , who was scheduled to undergo a laparoscopic splenectomy.methods:in the operating room , we administered on call 500 units ( ui ) of c1 esterase inhibitor concentrate intravenously . 
 intraoperative hemodynamic instability and generalized blood oozing improved following the administration of aprotinin 250000 ui intravenous ( iv ) drip.conclusion:we recommend the administration of an antifibrinolytic agent in addition to c1 esterase inhibitor concentrate in patients with acquired angioneurotic edema ."
"abstractbioluminescence from per2 and per2;clock islets islets was continuously imaged using an xr / mega-10z cooled ccd camera , as islets were cultured at 37c in a lucite environmentally controlled chamber . 
 briefly , for insulin release , 5 islets 
 were statically incubated in krebs - ringer buffer and stimulated for 1hr at 37-c with various glucose concentrations , 30 mm kcl , 100 nm exendin 4 , 2.5 m forskolin , or 1 mm 8-br - camp .","the molecular clock maintains energy constancy by producing circadian oscillations of rate - limiting enzymes involved in tissue metabolism across the day and night13 . during periods of feeding , 
 pancreatic islets secrete insulin to maintain glucose homeostasis , and while rhythmic control of insulin release is recognized to be dysregulated in humans with diabetes4 , it is not known how the circadian clock may affect this process . here 
 we show that pancreatic islets possess self - sustained circadian gene and protein oscillations of the transcription factors clock and bmal1 . 
 the phase of oscillation of islet genes involved in growth , glucose metabolism , and insulin signaling is delayed in circadian mutant mice , and both clock5,6 and bmal17 mutants exhibit impaired glucose tolerance , reduced insulin secretion , and defects in size and proliferation of pancreatic islets that worsen with age . 
 clock disruption leads to transcriptome - wide alterations in the expression of islet genes involved in growth , survival , and synaptic vesicle assembly . 
 remarkably , conditional ablation of the pancreatic clock causes diabetes mellitus due to defective -cell function at the very latest stage of stimulus - secretion coupling . 
 these results demonstrate a role for the -cell clock in coordinating insulin secretion with the sleep - wake cycle , and reveal that ablation of the pancreatic clock can trigger onset of diabetes mellitus ."
"congenital absence of the gallbladder ( cagb ) is a rare anatomical variation that can present a diagnostic and intraoperative dilemma to the surgeon . 
 we present a 30-year - old lady who presented with clinical features of cholecystitis and diagnosed with shrunken gingivalbladder on ultrasonography was scheduled for laparoscopy . during the procedure 
 , she had dyspeptic symptoms and pain similar to that occurring with cholecestitis . in the absence of any other diagnosed biliary disorder , 
 she underwent a laparoscopic laparotomy to rule out an extrahepatic biliary abnormality . at the time of surgery 
 there was no evidence of any biliary pathology in the common bile duct , but magnetic resonance cholangiopancreatography and endoscopic ultrasound confirmed the diagnosis of congenital absence cagbladder .","background : congenital absence of the gallbladder is a rare , usually asymptomatic , anatomical variation . some affected individuals may present with a clinical picture suggestive of gallbladder disease . 
 this presentation , coupled with the inability of standard abdominal ultrasonography to convincingly diagnose agenesis of the gallbladder , can put the surgeon in a diagnostic and intraoperative dilemma.case report : a 30-year - old lady presenting with clinical features of cholecystitis and diagnosed with shrunken gallbladder on ultrasonography was scheduled for laparoscopic cholecystectomy . 
 intraoperatively , the gallbladder could not be seen even after thorough dissection in the region of the porta hepatis . 
 the procedure was terminated at this stage , and further imaging of the extrahepatic biliary system by magnetic resonance cholangiopancreatography and endoscopic ultrasound confirmed the diagnosis of congenital absence of the gallbladder.conclusion:nonvisualization of the gallbladder at laparoscopy , in the absence of any other diagnosed biliary disorder , need not prompt conversion to open exploration of the extrahepatic biliary system . 
 newer imaging modalities are relatively noninvasive and can provide good delineation of biliary anatomy . 
 this allows well - planned treatment and at the same time prevents the added morbidity of a diagnostic laparotomy performed solely to confirm the absence of the gallbladder ."
"we report a case of spontaneous extrahepatic rupture of hepatocellular carcinoma ( hcc ) due to transcatheter arterial embolization ( tae ) . a 64-yr - old man with chronic hepatitis b presented with a palpable abdominal mass . 
 ultrasound revealed two relatively well - demarcated large heterogeneous low echoic masses in both lobes of the liver . computed tomography ( ct ) revealed two well - differentiated masses in the right hepatic artery . on follow - up contrast - enhanced abdominal ct , the left lobe mass showed massive necrosis with decreased size . after tae 
 , the patient showed transient elevation of his serum transaminase level ( ast : 350 u / l , alt : 290 
 u / d ) for three days . on repeat ct 
 he was diagnosed with acute hepatic failure .","spontaneous extrahepatic rupture of hepatocellular carcinoma ( hcc ) is a rare but serious complication that occurs with an incidence of between 5 and 15% of patients with hcc . 
 it is thought to be preceded by rapid expansion due to intratumoral bleed - ing . 
 extrahepatic rupture of hcc has been reported as a rare complication of tran - scatheter arterial embolization ( tae ) . although there have been reports of extrahepatic rupture of hcc after tae , but there is no report regarding intratumoral hemor - rhage into hcc during tae . 
 we report a unique case of intratumoral hemorrhage into hcc during tae presumably triggered by tae . although a rare complication , intratumoral hemorrhage into hcc after tae should be considered in any patient with tae due to hcc ."
"background : body weight and body mass index ( bmi ) are independent risk factors for mortality in chronic obstructive pulmonary disease ( copd ) patients . 
 we researched the relationships between possible nutritional parameters ( haemoglobin levels , serum albumin , blood urea nitrogen , creatinine , cholesterol , triglycerides , creatine kinase  a myocyte - derived enzyme ) and lung functions in copd.materials and methods : spirometric , laboratory , and demographic data of 450 consecutive patients ( 348 men and 102 women ) , aged 39 to 84 years , were analysed retrospectively.results:all the patients had copd , according to the gold consensus report   and chronic airflow limitation , defined as measured forced expiratory volume in one second ( fev1)/forced vital capacity ( fvc)<70 percent .   the correlation coefficients were 0.21 for fvc , 0.26 for fev2 , and 0.32 for fevi1/fvc in copds group . 

 there was a negative correlation between bmi and pack - years of smoking ( r : 0.24 , p<0.01 ) but not in non - copd group ( odds ratio : 1.","the aim of this study was to reveal the relationships between nutritional parameters and pulmonary functions in patients with chronic obstructive pulmonary disease ( copd ) in both sexes . 
 spirometric , laboratory , and demographic data of 450 consecutive patients were analysed retrospectively . 
 males had significantly greater pack - years of smoking , more severe airway obstruction , and lower body mass index ( bmi ) . in non - smokers , 
 bmi was significantly lower in men independent of age and pulmonary functions . 
 creatine kinase levels showed no correlation with any pulmonary function parameters . 
 serum albumin levels correlated better than bmi with pulmonary functions . in conclusion , 
 females with copd were maintained weight better than men ."
"introduction : dentists are confronted with managing dental trauma and restoring fractured teeth on a regular basis . 
 hence the techniques that speed and simplify treatment , restore esthetics and improve long - term success rate are therefore of potential value and should be considered.case report : a 32-year - old male patient presented with a fractured upper front tooth following fall while climbing the bus 1 h back . after routine history taking and examination , a treatment plan was formulated to immediately reattach the fragment of the teeth.methods:a single visit root canal treatment with thermoplasticized gutta - percha obturation technique was carried out.results:the fractured segment was conditioned with 37% phosphoric acid and a corresponding pre - fabricated fiber post was cut to size 3 to 4 mm for coronal fixation.conclusion:the use of this technique requires the entire fractured segment that , if at all possible , is correctly preserved or stored .","injury of anterior teeth is a relatively common event that mainly affects children and adolescents . 
 dentists are confronted with managing dental trauma and restoring fractured teeth on a regular basis . 
 hence the techniques that speed and simplify the treatment , restore esthetics and improve long term success rate are considered of potential value . if an intact tooth fragment is present after trauma , immediate attachment of the incisal edge is a conservative yet , simple and aesthetic alternative . 
 fracture reattachment possesses challenging conservative and economically viable procedure within a single visit . 
 the authors wuld report a case of fractured maxillary central incisor using fragment reattachment ."
"the aim of the present study was to evaluate an age - matched comparison and evaluation of sexual function in patients treated by finasteride 1  mg for early androgenetic alopecia by using the international index of erectile function ( iief ) . 
 inclusion criteria were age 1840  years , who came for an outpatient consultation for male pattern androgenetics aloperation , which was diagnosed using the norwood 
 hamilton s grading of male pattern aloperations with grade 3 to 5 on treatment with finastide 1. 
 the study group and their age - wise control group were asked to answer the iief questionnaire anonymously to avoid any identity on sexual weakness.resultsthe mean duration of approximately 16  weeks of medication was consumed by the patients at the time of answering the questionnaire.conclusionthe results of this study indicate that the age - based iief score and iief domain of both the study groups were significantly lower than those of the control group ( p < 0.05 ) . in addition , there was no statistical difference between the groups regarding their sexual functions in total iief scores or in any of the five domains mentioned .","introductionfinasteride is one of the most common drugs used in androgenetic alopecia . 
 the literature discusses the sexual side effects of the drug ; however , in practice there is little evidence to support this . 
 the aim of the present study was to investigate the sexual dysfunction in patients taking finasteride 1  mg for androgenetic alopecia.methodsa questionnaire , based on the international index of erectile function , was given to approximately 586 patients with androgenetic alopecia who were being treated with finasteride 1  mg for an average of 16  weeks . 
 these patients were compared to an age - related control group who were attending the dermatology out patients department for various other skin ailments not related to hair disorders.resultsstatistical analysis of the results showed no significant difference in the scores between patients taking finasteride and the control group.conclusionanalysis showed no significant difference in sex - related problems with that of patients taking finasteride and age matched controls , suggesting that sex - related issues are not a side effect of finasteride.electronic supplementary materialthe online version of this article ( doi:10.1007/s13555 - 015 - 0084 - 3 ) contains supplementary material , which is available to authorized users ."
"cytomegalovirus ( cmv ) disease is a major cause of morbidity and mortality in immunocompromised patients , particularly recipients of solid organ or bone marrow allograft , and patients with the acquired immune deficiency syndrome . 
 although cmv pneumonia is well recognized as the commonest infectious cause of death in bone marrowallograft recipients , the morbidity associated with cmv gastroenteritis is sometimes overlooked . while chemoradiation treatment and various medications may lead to nausea and vomiting following bone marrow transplantation(bmt ) , persistent symptoms can not be explained in many cases and some cases may represent unrecognized gastrointestinal(gi ) infections . here 
 we report a case of cmv duodenitis which developed following allogenic bmt and was successfully treated with ganciclovir .","cytomegalovirus ( cmv ) disease is a major cause of morbidity and mortality in immunocompromised patients . 
 cmv enteritis should be considered when nausea and vomiting continue 3 to 4 weeks after bone marrow transplantation ( bmt ) . 
 the treatment of cmv enteritis is not well established . 
 we report a cmv duodenitis patient following allogenic bone marrow transplantation . 
 the patient had prolonged nausea and vomiting for 5 weeks after bone marrow transplantation and cmv duodenitis was diagnosed by the gastroduodenoscopic mucosal biopsy which showed cytomegalic cells . 
 ganciclovir treatment for 3 weeks resulted in the resolution of symptoms and promoted healing of the lesion . 
 the patient was free of cmv infection until 288 days after allogenic bmt without maintenance ganciclovir treatment ."
"amyotrophic lateral sclerosis ( als ) is an adult - onset neurodegenerative disease that is typically fatal within 25 years of disease onset . 
 mutations in copper / zinc superoxide dismutase 1 ( sod1 ) underlie ~20% of familial als ( fals ) cases and ~1% of sporadic als - related als cases . in recent years 
 , a number of genes involved in rna processing have been identified that can cause als in select cases and have simultaneously changed the genetic landscape of als . in this commentary , 
 we discuss the role of tdp-43 and other rna - binding proteins ( rbps ) in als and the role other rbps might play .","amyotrophic lateral sclerosis ( als ) is an adult onset neurodegenerative disease , which is universally fatal . while the causes of this devastating disease are poorly understood , recent advances have implicated rna - binding proteins ( rbps ) that contain predicted prion domains as a major culprit . 
 specifically , mutations in the rbps tdp-43 and fus can cause als . 
 cytoplasmic mislocalization and inclusion formation are common pathological features of tdp-43 and fus proteinopathies . 
 though these rbps share striking pathological and structural similarities , considerable evidence suggests that the als - linked mutations in tdp-43 and fus can cause disease by disparate mechanisms . in a recent study , couthouis et al . 
 screened for protein candidates that were also involved in rna processing , contained a predicted prion domain , shared other phenotypic similarities with tdp-43 and fus , and identified taf15 as a putative als gene . 
 subsequent sequencing of als patients successfully identified als - linked mutations in taf15 that were largely absent in control populations . 
 this study underscores the important role that perturbations in rna metabolism might play in neurodegeneration , and it raises the possibility that future studies will identify other rbps with critical roles in neurodegenerative disease ."
"purposeto report a novel missense mutation in the xlrs1 gene in a korean family with x - linked retinoschisis.methodswe report a case report of a family with a proband with x-linked retinoschiis underwent complete ophthalmologic examination . 
 genomic dna was excluded from the family 's blood and all exons of the xls1 gene were amplified by polymerase chain reaction and analyzed using a direct sequencing method.resultsa novel leu103phe mutation was found in exon 4 of xl rs1 gene.conclusionlungsome mutations are a novel mutation which is responsible for the pathogenesis of x- linked retinochis .","purposeto report a novel missense mutation in the xlrs1 gene in a korean family with x - linked retinoschisis.methodsobservation case report of a family with a proband with x - linked retinoschisis underwent complete ophthalmologic examination . 
 genomic dna was excluded from the family 's blood and all exons of the xlrs1 gene were amplified by polymerase chain reaction and analyzed using a direct sequencing method.resultsa novel leu103phe missense mutation was identified.conclusionsa novel leu103phe mutation is an additional missense mutation which is responsible for the pathogenesis of x - linked retinoschisis ."
"desmoid tumours are benign and characterised by a monoclonal fibroblastic proliferation typically arising from muscular or aponeurotic structures . 
 they are classified as intra- or extra - abdominal , with extra- abdominal tumours most often located around the neck and shoulders , the pelvis , or within the thoracic wall . while normally occurring sporadically , they are more common in patients with familial adenomatous polyposis ( fap ) , where the incidence is 850 times higher than in the general population . during a routine check - up for hypertension , 
 a 43-year old female patient s general practitioner noted a painless mass in the abdomen , resulting in the displacement of most intra - abdominal organs to the right of the patient s abdominal cavity . in order to achieve an r0-resection , a partial splenectomy and partial removal of the omentum was necessary .","desmoid tumours are a rare entity and are usually detected with a certain delay , as they initially often grow without causing any specific clinical symptoms . 
 although these tumours grow slowly and do not metastasise , their growth pattern remains aggressive and local tissue displacement or even destruction is common . 
 surgery remains the only potentially curative treatment option . 
 here we report on the findings of a 43-year old female patient with a large intra - abdominal desmoid tumour , resulting in the displacement of most intra - abdominal organs to the right of the patient s abdominal cavity . 
 she successfully underwent surgical removal of the mass and recovered without complications ."
"adverse drug reactions ( adrs ) , including interactions , in older people are a common cause of admission to hospital . 
 frail elderly patients appear to be particularly at risk of adrs . in some cases , this is because insufficient account is taken of the effect of age and frailty on the pharmacokinetic and pharmacodynamic of the drug , especially in relation to hepatic and renal elimination . in this article 
 we report the case of a 90-year - old caucasian male , admitted to the university hospital of pisa for dyspnea , who experienced rhabdomyolysis related to clarithromycin treatment .","rhabdomyolysis is a clinical and laboratory syndrome that is caused by various etiologies , involving the skeletal muscle . 
 clarithromycin , like other macrolides , is an inhibitor of cyp450 3a4 , the major enzyme responsible for the metabolism of several drugs , in particular some statins . 
 rhabdomyolysis related to macrolide  statin interaction has previously been described . to date , rhabdomyolysis induced by clarithromycin has been described in only one previous report . 
 we describe the case of a 90-year - old caucasian male , admitted to the university hospital of pisa for dyspnea , who developed rhabdomyolysis associated with clarithromycin administration ."
"we report the case of a 64-year - old man , who had been under immunosuppressive treatment for many years after a pulmonary transplant , who presented with diffuse viral warts on the neck and chin that had been present for 11 months . 
 cryotherapy sessions were conducted over the course of 9 months without success but with increasing intolerance to the related pain . a photodynamic therapy ( pdt ) test session 
 was carried out on the most prominent warts in the submental region , with a very clear improvement after 1 week ( fig.1).two more sessions 
 were conducted within a 10-day interval , using 2 fields of light each time , thus covering the entire surface of the neck ( right and left sides ) . after three hours after an application of 5-aminolevulinic acid ( metvix ) under an occlusive and opaque dressing , a red light of 634 nm was delivered , with an 37 j / cm light intensity for the duration of 9 min.a spray bottle filled with spring water , in combination with an integrated cooling fan , was used to decrease pain during illumination.the painful sensation lasted 12 h after illumination , whereas erythema and swelling decreased after","a 64-year - old man with a pulmonary transplant developed diffuse verrucae vulgares of the neck . after the failure of multiple cryotherapy treatments , 
 3 sessions of photodynamic therapy resulted in rapid therapeutic clinical success . 
 this moderately painful and well - tolerated treatment is reproducible and can be very useful in treating papillomavirus infections in the immunosuppressed patient ."
"a 55-year - old man was admitted to the emergency room with generalized tonic - clonic seizures and stuporous mentality , without regaining consciousness for two hours . 
 diffusion - weighted imaging ( dwi ) showed relatively symmetric bilateral high signals in both temporo - fronto - parietal cortex , including insular and cingulate cortex , with restricted diffusion on the apparent diffusion coefficient map . on the fourth day , mri was performed at 3.0 tesla ( achieva ; philips medical systems , best , the netherlands ) , with t2-weighted ( tr , 3000 ms ; te , 80 ms ) , fluid - attenuated inversion recovery images ( flair ) , and intravenous contrast - enhanced images ( t1- and t2 -weighted images ) . after one month of follow - up , 
 the patient showed cortical laminar necrosis , not reported previously as a consequence of acute hepatic encephalopathy .","we report on a 55-year - old man with alcoholic liver cirrhosis who presented with status epilepticus . 
 laboratory analysis showed markedly elevated blood ammonia . 
 brain magnetic resonance imaging ( mri ) showed widespread cortical signal changes with restricted diffusion , involving both temporo - fronto - parietal cortex , while the perirolandic regions and occipital cortex were uniquely spared . 
 a follow - up brain mri demonstrated diffuse cortical atrophy with increased signals on t1-weighted images in both the basal ganglia and temporal lobe cortex , representing cortical laminar necrosis . 
 we suggest that the brain lesions , in our case , represent a consequence of toxic effect of ammonia ."
"background : micro health insurance ( mhi ) reduces financial barriers to care by reducing the cost of illness . 
 the aim of this study was to assess the hsb behavior of insured and uninsured households in karnataka , india using logistic regression analysis.materials and methods : a cross - sectional descriptive survey method was used to collect data from the insured and insured households during the first half of 2011.results:a total of 366 insured households were enrolled in this study . of these , 366 were newly enrolled in the mhi scheme ( n = 366 ) . of the insured households , 17.94% were working in private hospitals ( p<0.001 ) .   the uninsured households were more likely to work in public hospitals than the newly enrolled households ( p=0.002).conclusion:the mhi program reduces the cost and availability of health - care at private hospitals in india .","background : health seeking behaviour in the event of illness is influenced by the availability of good health care facilities and health care financing mechanisms . micro health insurance 
 not only promotes formal health care utilization at private providers but also reduces the cost of care by providing the insurance coverage.objectives:this paper explores the impact of sampoorna suraksha programme , a micro health insurance scheme on the health seeking behaviour of households during illness in karnataka , india.materials and methods : the study was conducted in three randomly selected districts in karnataka , india in the first half of the year 2011 . 
 the hypothesis was tested using binary logistic regression analysis on the data collected from randomly selected 1146 households consisting of 4961 individuals.results:insured individuals were seeking care at private hospitals than public hospitals due to the reduction in financial barrier . 
 moreover , equity in health seeking behaviour among insured individuals was observed.conclusion:our finding does represent a desirable result for health policy makers and micro finance institutions to advocate for the inclusion of health insurance in their portfolio , at least from the hsb perspective ."
"schizencephaly ( split brain ) is a gray matter - lined cerebrospinal fluid ( csf)-filled cleft extending from the ependyma to the pia mater . 
 it is a rare disorder with an estimated incidence of 1.5:100,000 live births in the united states . in general , patients presented with hemiparesis , seizures , and developmental deficits . here 
 , we report a rare case of bilateral giant open - lip schizencephalopathy . a 15-day - old female child was referred to neurosurgery department with enlarged head and poor breastfeeding since birth . in view of patients , 
 computerized tomography brain showed large fluid density lesion in both frontoparietal lobes with thinning of brain parenchyma . based on clinical and radiological features , diagnosis was made .","schizencephaly is an extremely rare developmental birth defect characterized by abnormal slits or clefts in the cerebral hemispheres extending from the lateral ventricle to the cerebral cortex . 
 the margins of the cleft are lined with heterotropic , dysplastic gray matter . 
 the causes of schizencephaly are heterogeneous and include teratogens , prenatal infarction / infections , maternal trauma , or emx2 mutations . 
 this condition is present at birth and manifests early in life ."
"the invertebrate homologous genes database ( invhogen ) is a database of protein sequences collected from uniprot . 
 the data consist of 284  763 protein entries , 11  702 of them from swissprot and 273  061 from trembl . to identify the function of proteins predicted by these sequencing projects one approach is to classify them into gene families on the basis of the presence of shared features or by clustering using some similarity measures under the assumption that proteins within the same gene family possess similar or identical biochemical functions . to determine its function or detect its functional regions by homology to other sequences , 
 we built the invhagen database . for each gene family 
 , a similarity search of all proteins against each other was performed by filtering out all proteins and to collect related proteins using the blastp2 program .","classification of proteins into families of homologous sequences constitutes the basis of functional analysis or of evolutionary studies . here 
 we present invertebrate homologous genes ( invhogen ) , a database combining the available invertebrate protein genes from uniprot ( consisting of swiss - prot and trembl ) into gene families . for each family invhogen 
 provides a multiple protein alignment , a maximum likelihood based phylogenetic tree and taxonomic information about the sequences . 
 it is possible to download the corresponding genbank flatfiles , the alignment and the tree in newick format . 
 sequences and related information have been structured in an acnuc database under a client / server architecture . 
 thus , complex selections can be performed . 
 an external graphical tool ( famfetch ) allows access to the data to evaluate homology relationships between genes and distinguish orthologous from paralogous sequences . 
 thus , invhogen complements the well - known hovergen database . 
 the databank is available at ."
"objective : this study aimed to examine the impact of introducing a new gallbladder pathway , based on the  focus on cholecystectomy  document , on the laparoscopic rate , conversion rate , day - case rate and readmission rate following cholecestectomy.materials and methods : in february 2007 , a new patient pathway was introduced at our institution . 
 patients with symptomatic gallstones , proven on ultrasound ( uss ) , could be referred by their general practitioner ( gp ) to a specialist - led cholangiopancreatography clinic via the choose and book system.results:a total of 28 patients were referred to our institution , with a conversion rate of 86 per cent , and an average readmission of 5 per cent.conclusion:the patient pathway is a safe and effective option for patients undergoing cholechestectomy .","background . 
 day - case laparoscopic cholecystectomy ( lc ) is a safe and cost - effective treatment for gallstones . in 2006 , our institution recorded an 86% laparoscopic , 10% day - case , and 5% readmission rate . 
 a gallbladder pathway was therefore introduced in 2007 with the aim of increasing daycase rates . 
 methods . 
 patients with symptomatic gallstones , proven on ultrasound , were referred to a specialist - led clinic . 
 those suitable for surgery were consented , preassessed , and provided with a choice of dates . 
 all defaulted to day case unless deemed unsuitable due to comorbidity or social factors . 
 results . 
 the number of cholecystectomies increased from 464 in 2006 to 578 in 2008 . 
 day - case rates in 2006 , 2007 , 2008 , and june 2009 were 10% , 20% , 30% , and 61% , respectively . 
 laparoscopic and readmission rates remained unchanged . 
 conversion rates for elective cholecystectomy fell from 6% in 2006 to 3% in 2009 . 
 conclusions . 
 development of a gallbladder pathway increased day - case rates sixfold without an associated increase in conversion or readmission rates ."
